start	end	text
0	5040	What if, what if the reason you haven't found your ultimate cosmic purpose in life
5040	7680	is simply because the universe just forgot to write one for you?
8240	10320	Right. Like it just slipped its mind entirely.
10320	15920	Exactly. And what if realizing that is actually the most liberating news you will hear all year?
16400	22640	I mean, if you've ever felt crushed by the pressure to figure out what you are meant to do.
22640	24560	Which I think most of us have at some point.
24560	28960	Oh, 100%. It feels like there's this golden ticket hidden somewhere.
28960	31600	And you are just failing by not finding it.
32320	35520	Well, this deep dive is going to take a massive weight off your shoulders.
35520	40480	We really do carry around this heavy assumption that the objective meaning of our lives is
42080	44640	it's like a hidden treasure waiting to be unearthed.
44640	48080	We think if we just read the right book or I don't know, take the right job,
48080	49040	find the right partner.
49040	52240	The universe will suddenly click into place and validate our existence.
52240	52880	Exactly.
53520	57760	But the source material we were pulling apart today flips that entirely on its head.
57840	63680	Yeah, we are getting into a deeply thought-provoking essay by Sangyi Yun.
63680	67200	It's titled coming back to the human A sequel to Why Do We Live.
67840	71440	And in the original piece, the author laid down a pretty radical premise, which is that
72080	74000	meaning is not something you discover.
74000	75600	It is something you create.
75600	76640	Right. There is no script.
76640	77600	No script at all.
77600	81360	But I mean, that leaves us with a terrifying, massive blank page.
81360	84000	Because if meaning is entirely up to us,
84720	86640	what on earth should we build it around?
86640	88320	That is the million dollar question.
88320	92720	Yeah, if there's no cosmic rulebook, how do we decide what is actually worth caring about?
92720	94320	Okay, let's unpack this.
94320	98080	So to even begin answering what we should value,
98080	102000	we have to look at the primary tool we use to figure things out, which is language.
102800	105680	And we hit a wall almost immediately here.
105680	106000	Right.
106000	109760	Because the author points out that language actually fails us completely when we try to talk about
109760	110560	ultimate meaning.
110560	110880	Yeah.
110880	115600	There's this famous line from the philosopher Lou Bigwick and Stein from his book The Trek Tattas,
115680	120000	where he says, where of one cannot speak, there of one must be silent.
120000	123360	Wow. That sounds like a, like a philosophical mic drop.
123360	124240	It really is.
124240	129280	You reach the edge of what words can accurately describe and you just have to shut up.
129280	131840	But how does someone actually reach that edge?
131840	134640	Because it feels like we have a word for literally everything.
134640	137040	Well, we have words for the mechanics of the world, sure.
137040	137600	Yeah.
137600	143920	But thick and Stein was using pure, rigorous logic to find the boundary of language from the inside.
144400	147200	Like imagine being in a massive dark room.
147200	148800	Okay, I'm picturing it.
