start	end	text
0	4420	Imagine spending your entire life, you know, just searching for the meaning of life.
4500	5740	Right. The ultimate quest.
5860	9520	Exactly. You've been handed this treasure map and you follow every single clue.
9740	14280	You cross proverbial oceans and finally you dig up the chest, you pop the lock,
14680	18200	you throw open the lid and, well, it is completely empty.
18360	19080	Oh, man.
19360	24000	And worse, you look closely at the map and realize someone else drew it just to keep you digging.
24360	27720	That is, I mean, that's a staggering realization.
27900	28140	Right.
28140	35940	And a lot of people hit that exact wall at some point because there is this deeply ingrained expectation we all have
35940	41920	that meaning is an object out there in the universe just waiting in the dirt to be discovered by you.
42040	43300	Right. Like it's a physical thing.
43380	46880	And that is the exact philosophical landscape we are stepping into today.
47020	48580	So welcome to today's Deep Dive.
48640	50560	Thanks for having me. I'm excited to dig into this.
50560	56980	Yeah. We are exploring a truly fascinating essay by thinker and mathematician Seung Gi-yeon
56980	60960	titled Coming Back to the Human A sequel to Why Do We Live?
61320	65600	And the premise here completely shatters that whole treasure hunt metaphor we just talked about.
65860	66500	It really does.
66720	72200	The essay basically argues that asking what is the meaning of life is, well,
72320	74980	it's fundamentally the wrong question to be asking the universe.
75280	76380	Yeah, it's a malformed question.
76600	76840	Yeah.
76840	80240	Because it assumes meaning is this metaphysical absolute.
80980	87520	The shift being proposed here by Yoon is moving from a mindset of discovery to a mindset of creation.
87760	88660	Okay. I like that.
88840	94440	So the much harder, much more accurate question is actually, do I want meaning in my life?
94540	97680	Which moves the power entirely over to you, the listener.
98000	101620	It transforms meaning from a cosmic obligation into a personal choice.
101620	102060	Exactly.
102360	105480	But, and here's the real mission for our conversation today,
105900	109960	if we accept that meaning is something we have to create with our own two hands,
110100	112740	a really intimidating question immediately follows.
112820	114280	Oh, absolutely. What do we base it on?
114340	118440	Right. What should we create it around? What actually deserves to be honored in this world?
118720	121600	So today, we are going to trace the path to answer that.
121660	122400	It's quite a journey.
122400	126620	It is. We are going to explore the failure of the words we use,
127160	130620	walk through the absolute destruction of our most deeply held values,
130920	136640	and finally, discover the strange, empowering way we can rebuild our humanity from scratch.
136860	140020	Yeah. And to even begin figuring out what deserves honor,
140740	145440	we have to audit the tool we are using to investigate the problem in the first place.
145500	146580	Which is language. Right.
146580	153480	Exactly. That tool is language. And it is, frankly, mechanically flawed for this specific job.
153620	157580	Because we are using words to point at things that words simply cannot reach.
157720	162600	I mean, words put reality into neat little boxes, but reality itself is in a series of boxes.
162800	166260	No, it's not. Let's look at this through the lens of Ludwig Wittgenstein, for example.
166460	166680	Yeah.
166800	169960	In his Tractatus, he wrote one of the most famous sentences in modern philosophy.
170060	171040	Oh, I think I know this one.
171120	171580	Yeah. He said,
171900	174480	Whereof one cannot speak, thereof one must be silent.
174480	180400	Wittgenstein essentially acted as a cartographer. He mapped the absolute edge of what is logically
180400	185480	speakable. He built a ladder out of language, climbed to the very top rung, and pointed into
185480	191760	the dark, basically saying, beyond this is silence. Logic cannot survive out there.
192420	196680	But I mean, just mapping the edge of the cliff isn't the same as actually crossing over it.
196780	202320	No, not at all. And if you contrast Wittgenstein with the Eastern contemplative tradition,
202320	204640	you see a totally different approach.
205000	205520	How so?
205920	211120	Well, the Buddha spent 45 years teaching, but he constantly warned his followers that his
211120	213740	teachings were merely fingers pointing at the moon.
213920	217120	Ah, right. If you stare at the finger, you miss the sky.
217320	223180	Exactly. In fact, on his deathbed, the Buddha famously claimed he had not said a single word.
223320	227400	Okay, wait, let's unpack that. Because from a strictly Western literal perspective,
227400	231960	claiming you haven't spoken a word after 45 years of public speaking sounds like total nonsense.
232020	234960	Oh, it sounds totally incoherent to someone analyzing it with pure logic.
235140	235340	Yeah.
235640	239320	But the Buddha's entire enterprise wasn't about building logical arguments.
239400	239640	Right.
239900	245280	It was about pure practice and direct seeing. There is a core text called the Diamond Sutra,
245640	251840	which states explicitly that all forms are illusion, and refers to the Buddha as the Tathagata.
251840	253860	Tathagata. What does that mean exactly?
254000	261580	It roughly translates to one who has thus come, or one who has thus gone. It means someone who
261580	265640	simply rests in reality as it is, without filtering it through language.
265720	266100	Wow.
266620	270220	The words he used were just temporary scaffolding. They were meant to collapse the moment the
270220	272060	listener actually experienced the understanding.
272400	276120	I mean, it is like trying to explain the taste of salt using only sheet music.
276480	277140	Oh, I like that.
277140	281400	Yeah, the notes on the page can point to the experience. They might even evoke a sharp staccato
281400	284620	feeling similar to salt. But the sheet music isn't the salt.
284720	285240	No, it's not.
285260	289460	You cannot eat a song. You have to actually put the salt on your tongue. Though, to be fair,
289920	293220	some Western thinkers realized this problem too, didn't they?
293360	298180	They did, yeah. A few tried to build workarounds. Edmund Hussle, for instance,
298580	300880	developed something called the Phenomenological Epique.
301300	301820	Epique!
302100	304760	Yeah, which is essentially a systematic suspension of judgment.
304760	309020	Wait, how does one actually suspend judgment like that in daily life? I mean, is that just
309020	312840	a fancy academic way of saying, turn off your brains, autocomplete?
313160	314980	That is a brilliant way to phrase it.
315120	315300	Huh.
315400	320100	Yes. Imagine you are looking at a tree. Instantly, your brain labels it.
320100	323900	Right. Oak tree, lumber, shade, something to avoid crashing into.
324060	328640	Exactly. You are seeing the labels and the utility, not the object itself.
329540	334640	Hussle's epiche is the practice of stripping away those labels to experience the raw
334640	337980	visual data of the tree before your vocabulary gets in the way.
338060	338900	That makes a lot of sense.
339000	342420	And later, Martin Heidegger tried something similar with his concept of
342420	347820	galassenheit or releasement. Just letting beings simply be what they are without trying
347820	349260	to master them with our concepts.
349400	353960	Okay, so if our language is basically a broken ladder and our words constantly trick us by
353960	357820	autocompleting reality, how do we even begin to evaluate what matters?
357960	359080	That is the big question.
359080	363300	Right. Like, we need something to cut through all that noise so we can figure out what to
363300	364660	actually value in this life.
365040	368840	Well, the best instrument we have to cut through that noise is rational thinking.
368980	369320	Okay.
369740	375500	But we have to be incredibly careful here. We are not elevating rationality because it
375500	378380	gives us access to absolute cosmic truth.
378560	383880	Right. It doesn't magically turn us into perfectly autonomous, free-thinking beings who somehow
383880	385100	exist outside the universe.
385100	390940	Exactly. Strict economy is a complete illusion. Every human being is stamped by their environment.
391560	396360	The language you speak, the values you hold, the things you find beautiful or repulsive,
396840	401060	they were largely handed to you by your culture, your parents, and your biology.
401300	401660	Wow.
401940	407480	Even the thoughts you consider profoundly original are mostly just recombinations of inherited concepts.
407700	411500	Which is, I mean, that's a really tough pill to swallow for anyone who prides themselves
411500	413400	on being a rugged individualist.
413480	414020	Oh, absolutely.
414020	417940	If my thoughts aren't even fully mine, and rationality doesn't give me cosmic freedom,
418120	419600	why should I rely on it at all?
419800	425600	We rely on it based on a purely pragmatic criterion. Rationality is a tool that allows
425600	428100	us to step back and audit those inherited conventions.
428540	433900	Clear, empirical thinking maximizes the probability of two very practical outcomes.
434580	440000	First, that our lives unfold in directions we find desirable. And second, that our actions
440000	442280	do tangible good for the world around us.
442720	443480	This is practical.
443480	448680	Very. We use reason, not because it is divinely ordained, but simply because it works.
449060	452620	I can hear people listening right now asking, what about my emotion? Shouldn't I follow
452620	454580	my heart to figure out what is honorable?
455020	460320	That is a common reaction. But emotional reasoning is the absolute most dangerous trap in this
460320	461120	entire process.
461220	462460	Really? Why is that?
462460	467700	Because if you rely on your gut feelings to decide what is honorable, you are almost certainly going
467700	471900	to reproduce whatever your local culture has programmed you to feel. You aren't actually
471900	476700	thinking. As the essay so sharply puts it, you are being thought by one's environment.
477020	482220	Hold on, I want to push back on that a little bit. When I feel a deep, visceral, emotional pull
482220	488080	toward a cause, or maybe a fierce loyalty to a tradition, you are saying, I'm just playing back a
488080	491200	cassette tape my culture recorded for me without my consent.
491600	493160	In the vast majority of cases, yes.
493280	493920	That's wild.
494160	498960	I know, because that emotional resonance feels entirely authentic to you in the moment. Your
498960	504840	heart rate goes up, you feel inspired, but the origin of that feeling is inherited. The trigger was
504840	506280	installed by society.
506280	511720	That is deeply unsettling. To realize that our most profound feelings might just be societal
511720	514500	programming masquerading as an absolute truth.
514620	515500	It is unsettling.
515600	519680	But I suppose this is exactly why we need that cold scalpel of reason we were talking about.
519760	525240	Yes. And this is where the journey gets deliberately uncomfortable. Because if our emotions are largely
525240	531540	cultural programming, we have to apply that scalpel of reason to everything we hold dear.
531640	531940	Every.
532220	534920	Everything. We have to walk through the total dissolution of the honorable.
534920	537740	Every single sacred cow goes under the microscope.
538120	542040	All right, let's do it. Let's start with arguably the biggest one out there, romantic love.
542180	543000	Good place to start.
543300	548760	It's the ultimate human value. We write countless songs about it. We structure our entire lives around
548760	552860	it. We treat the idea of soulmates as this grand cosmic destiny.
553140	560520	It definitely feels like destiny from the inside. But let's apply the scalpel. What is romantic love,
560940	561820	mechanically speaking?
561920	562160	Right.
562160	569160	It is an incredibly powerful neurochemical loop driven by millions of years of evolutionary
569160	569280	optimization.
570280	574160	So instead of star-crossed lovers, it's just biological imperatives.
574320	580780	Pretty much. Think about the feeling of locking eyes with someone across a crowded room and
580780	583480	feeling like the universe planned that exact moment.
583540	585200	Yeah, that classic movie moment.
585200	591940	Evolution built that intoxicating, overwhelming cocktail to ensure genetic continuity. The ancestors
591940	596400	who possessed the DNA sequences that compelled them to fiercely pair bond and protect their offspring
596400	598780	were the ones who successfully procreated.
599300	601340	And the ones who didn't feel that drive died out.
601520	606580	Exactly. We call it destiny. Biology calls it a highly successful mating strategy.
606580	619240	OK, but we have to bring in David Hume's famous is ought problem here, right? Definitely. Because just because something is a certain way like love originating as a biological survival loop, that doesn't automatically mean we ought to treat it as meaningless.
619240	628240	That distinction is vital to understand. The philosophical argument here is not love is just chemicals, therefore it is trash.
628320	628560	Right.
628900	641080	The argument is that love has no inherent independent cosmic honor. The universe did not endorse your marriage. The cosmic warrant is completely absent. It is beautiful, yes, but it is deeply finite.
641080	644880	Wow. It is not written in the stars. It is literally just written in our DNA.
645260	645460	Yeah.
645680	655500	What about human greatness, then? We build giant bronze statues of people. We honor visionaries like Albert Einstein or Marie Curie. We aspire to leave a permanent mark on history.
655820	665400	Apply the scalpel again. Why do we automatically honor a hominid doing advanced mathematics more than we honor the breathtaking, elegant physics of a dying star going supernova?
665620	667320	That's, huh. I never thought about it like that.
667320	676880	The honor we extend to human achievements relies on a massive, invisible apparatus of human valuation. It's an echo chamber. We value human greatness because we are humans.
677080	677320	Right.
677480	681060	There is no foundational bedrock beneath it other than, well, this is just what we do.
681140	681300	Right.
681300	696360	So if we strip away personal love and we strip away individual ambition, what about the grand philosophies? Let's take humanism, the flourishing of humanity as a whole as our highest aim. Surely that survives the scrutiny of reason.
696360	699960	Actually, the essay classifies this as the trap of the indisms.
700400	700920	Oh, really?
701200	708920	Yeah. Why prioritize humanism? Why not Earthism, which would prioritize the flourishing of the entire planetary biosphere?
708980	710060	Okay, I see where this is going.
710240	716700	If you adopt Earthism, you quickly realize humans might actually be a destructive parasite. Remember the villain Agent Smith in The Matrix?
716700	724160	Yes. Oh, man. He famously compares humanity to a virus, a cancer of the planet.
724240	728320	Exactly. And logically, from an Earthism standpoint, he wasn't entirely wrong.
728440	735660	Or what about, like, alienism, prioritizing the flourishing of far more advanced intelligent life out there in the galaxy over our own messy species?
735660	739220	You can construct a totally rational argument for any of these standpoints.
739220	739340	Yeah.
739560	743520	But here's how the premises collapse. Reason requires a starting premise to function.
743880	750640	If you ask, why prioritize human consciousness? The answer is usually because consciousness is the highest good.
750880	753100	And if you ask, why is it the highest good?
753620	758060	The answer is ultimately because we have it. It is a circular loop.
758720	765340	Reason cannot privilege humanism over Earthism because the foundational premises themselves are just floating in midair.
765340	773340	It's like you are asking why over and over again like a toddler expecting to eventually hit solid bedrock, but the bedrock is just empty space.
773540	776300	Exactly. Every single standpoint dissolves.
776820	780900	When you apply strict rational scrutiny to the bottom of the barrel, you arrive at the void.
781640	786660	There is no universally privileged standpoint. There is nothing inherently honorable to do in this world.
786820	791620	And I feel like if we stop the conversation right here, we are left paralyzed in pure nihilism.
791720	792080	Oh, totally.
792080	800840	I mean, if there is literally zero cosmic warrant for loving my family or pursuing my career or trying to reduce suffering in the world, why even bother getting out of bed?
801260	804260	If the deep dive ended in the void, it would be a complete disaster.
804580	808740	But no honest functioning person actually lives permanently in that void.
809660	812840	Reason successfully cleared the field of all our inherited illusions.
813440	814880	It did its job perfectly.
814880	817160	But reason leaves us starving.
818280	822480	To actually survive and act in the world, we have to introduce a second engine.
822920	823480	A second engine.
823640	825460	This is the phase of the return.
825720	825980	Yes.
826700	828500	Pure reason only dissolves.
828740	829680	It does not reconstruct.
830220	838100	After walking through the void and seeing the emptiness of all these cosmic claims, we come back to human emotions, to love, to our daily responsibilities.
838300	839500	We return to the marketplace.
839500	840300	We do.
840800	844400	But we don't return because these things magically regain their absolute cosmic value.
844640	846460	We return simply because we are human.
846760	848960	That is the bare, unavoidable fact of our existence.
849140	850400	We are thrown into being human.
850660	850920	Yes.
851180	853620	And human material is the only material we have to work with.
853680	857900	So we choose them, eyes wide open, fully aware they have no cosmic backing.
858140	858500	Exactly.
858920	861460	And that choice relies on the second engine, wisdom.
862360	864920	It is what Aristotle called phrenesis or practical wisdom.
864920	873280	In the Mahayana Buddhist tradition, it is the fierce compassion that arises spontaneously, only after one recognizes the ultimate emptiness of everything.
874280	881460	If reason is the scalpel that cuts away the illusions, wisdom is the steady hand that knows when to put the scalpel down and tend to the patient.
881940	882720	I love that visual.
883420	884280	Reason is the scalpel.
884400	885320	Wisdom is the hand.
885640	890420	It actually brings to mind the philosopher Søren Kierkegaard and his idea of the knight of faith.
890800	893320	Oh, Kierkegaard is incredibly relevant here.
893320	895840	He described a necessary double movement.
896660	898560	The first movement is infinite resignation.
899520	899840	Which means?
899980	902220	You surrender all your desperate finite attachments.
902760	906580	You drop the need for a cosmic safety net and you look the void right in the face.
906680	906860	Okay.
907300	908380	But you don't stay there.
908820	910380	The second movement is the total return.
910920	916280	You step back into the finite world and you love it as if it had ultimate meaning, knowing full well that it doesn't.
